CustomerID,Recency,Frequency,Monetary,TotalQuantity,UniqueProducts,AverageOrderValue,Cluster,Segment
12346,225,1,77183.6,74215,1,77183.6,0,Regular / Mid-Value
12347,29,5,2790.86,1590,82,558.172,3,High-Value / Loyal
12348,148,3,1487.24,2124,22,495.74666666666667,0,Regular / Mid-Value
12350,210,1,334.4,197,17,334.4,1,At-Risk / Low-Value
12352,162,5,1561.81,254,26,312.36199999999997,0,Regular / Mid-Value
12353,104,1,89.0,20,4,89.0,1,At-Risk / Low-Value
12354,132,1,1079.4,530,58,1079.4,0,Regular / Mid-Value
12355,114,1,459.4,240,13,459.4,1,At-Risk / Low-Value
12356,145,2,2753.08,1586,53,1376.54,0,Regular / Mid-Value
12358,50,1,484.86,100,12,484.86,1,At-Risk / Low-Value
12359,89,3,3495.73,965,135,1165.2433333333333,0,Regular / Mid-Value
12360,12,2,1618.28,674,63,809.14,2,Recent / Potential
12361,187,1,189.9,91,10,189.9,1,At-Risk / Low-Value
12362,20,4,1747.35,988,89,436.8375,0,Regular / Mid-Value
12363,9,2,552.0,408,23,276.0,2,Recent / Potential
12364,12,1,623.92,555,34,623.92,2,Recent / Potential
12365,191,2,641.38,174,22,320.69,0,Regular / Mid-Value
12370,174,3,2806.41,1973,125,935.4699999999999,0,Regular / Mid-Value
12372,112,2,914.9200000000001,592,32,457.46000000000004,0,Regular / Mid-Value
12373,211,1,364.6,197,14,364.6,1,At-Risk / Low-Value
12377,215,2,1628.12,944,72,814.06,0,Regular / Mid-Value
12378,29,1,4008.62,2529,219,4008.62,0,Regular / Mid-Value
12379,70,1,459.84,211,20,459.84,1,At-Risk / Low-Value
12380,85,1,607.5500000000001,293,36,607.5500000000001,1,At-Risk / Low-Value
12381,19,1,1268.74,568,62,1268.74,2,Recent / Potential
12383,84,5,1850.56,1532,84,370.11199999999997,0,Regular / Mid-Value
12384,21,1,292.69,62,14,292.69,2,Recent / Potential
12386,237,2,401.9,354,10,200.95,1,At-Risk / Low-Value
12388,48,4,1668.3400000000001,760,50,417.08500000000004,0,Regular / Mid-Value
